region_id,mean_electricity,mean_heatingfuels,region_name
AGO.4.26,0.040428745,-0.108768964,Cabinda
AGO.4.27,0.047063966,-0.13340621,Landana
AGO.5.28,-0.007308994,-0.132116603,Calai
AGO.5.29,0.001967052,-0.148334122,Cuangar
AGO.5.30,-0.040892051,-0.060798239,Cuchi
AGO.5.31,-0.021748743,-0.073212612,Cuito Cuanavale
AGO.5.32,-0.002344785,-0.139061094,Dirico
AGO.5.33,-0.010023711,-0.094567681,Mavinga
AGO.5.34,-0.041150965,-0.067390525,Menongue
AGO.5.35,-0.007658825,-0.112037707,Nancova
AGO.5.36,0.00815331,-0.143315863,Rivungo
AGO.6.37,-0.04053179,-0.018517315,Ambaca
AGO.6.38,-0.014687948,-0.034250546,Banga
AGO.6.39,-0.010666872,-0.0389014,Bolongongo
AGO.6.40,-0.007217656,-0.043404186,Bula Atumba
AGO.6.41,0.041826926,-0.151853442,Cambambe
AGO.6.42,0.017455501,-0.081390786,Cazengo
AGO.6.43,4.63486900000002e-05,-0.052903628,Dembos
AGO.6.44,0.010569358,-0.069135118,Golungo Alto
AGO.6.45,-0.006316756,-0.043769336,Lucala
AGO.6.46,-0.001285988,-0.049590409,Ngonguembo
AGO.6.47,0.033739228,-0.122991705,Pango Aluqum
AGO.6.48.167,-0.034556493,-0.020687425,Kiculungo
AGO.6.49,-0.03454925,-0.020728338,Samba Caj
AGO.7.50,-0.045550398,-0.028229725,Amboim
AGO.7.51,-0.072919729,-0.050558507,Cassongue
AGO.7.52,-0.043247593,-0.030560684,Conda
AGO.7.53,-0.068387238,-0.037411141,Ebo
AGO.7.54,-0.027216128,-0.0297364,Libolo
AGO.7.55,-0.045419866,-0.020465482,Mussende
AGO.7.56,0.04190305,-0.149228023,Porto Amboim
AGO.7.57,-0.066444161,-0.030770874,Quibala
AGO.7.58,-0.018859475,-0.037706923,Quilenda
AGO.7.59,-0.036408897,-0.030382705,Seles
AGO.7.60,0.021501289,-0.097284675,Sumbe
AGO.7.61,-0.069738856,-0.03103906,Waku Kungo
AGO.8.62,-0.057685113,-0.053704846,Cahama
AGO.8.63,-0.005563582,-0.110767079,Cuanhama
AGO.8.64,-0.071737787,-0.07261659,Curoca
AGO.8.65,-0.017917361,-0.080576981,Cuvelai
AGO.8.66,0.002268144,-0.140716124,Namakunde
